scenario_id,vehicle_id,DateTime,charging_kw,strategy,forecast_source
20230707_pooled_F10_P050_S42,EV003,2023-07-07 18:05:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 18:10:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 18:15:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 18:20:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 18:25:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 18:30:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 18:35:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 18:40:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 18:45:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 18:50:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 18:55:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 19:00:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 19:05:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 19:10:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 19:15:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 19:20:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 19:25:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 19:30:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 19:35:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 19:40:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 19:45:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 19:50:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 19:55:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 20:00:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 20:05:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 20:10:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 20:15:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 20:20:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 20:25:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 20:30:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 20:35:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 11:00:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 11:05:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 11:10:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 11:15:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 11:20:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 11:25:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 11:30:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 11:35:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 11:40:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 11:45:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 11:50:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 11:55:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 12:00:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 12:00:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 12:05:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 12:05:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 12:10:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 12:10:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 12:15:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 12:15:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 12:20:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 12:20:00,6.6,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 12:25:00,6.6,fixed_delayed,none
