date,renewable_energy_kwh,campus_energy_kwh,surplus_energy_kwh,peak_surplus_kw,valid_intervals,total_intervals,surplus_intervals,data_completeness
2022-07-05,22418.970083333334,33153.998916666664,2472.6945833333334,1293.9170000000001,288,288,82,1.0
2022-06-02,21524.219666666664,36760.04041666666,2448.1759999999995,1296.7799999999997,288,288,68,1.0
2022-10-01,21553.312166666667,35146.09283333333,2446.1527499999997,1244.7129999999997,288,288,69,1.0
2022-05-22,21226.15975,32294.796916666666,2433.967,1017.156,288,288,72,1.0
2023-09-07,22825.839666666667,36871.69554166667,2429.8359166666664,988.1420000000003,288,288,56,1.0
2023-07-30,15361.076166666666,31758.279,2427.9016666666666,1479.0510000000002,288,288,54,1.0
2022-07-01,21117.311416666667,32283.067249999996,2426.1035,1669.8580000000002,288,288,62,1.0
2022-08-13,20139.53175,34387.08541666667,2404.9171666666666,1302.0789999999997,288,288,67,1.0
2023-05-28,25256.073083333333,37603.05216666667,2404.7813333333334,1752.19,288,288,53,1.0
2023-09-15,15973.554416666666,32149.11825,2381.7573333333335,1251.471,288,288,42,1.0
2022-09-24,18620.789916666665,33414.14991666666,2373.8447499999997,1255.6640000000002,288,288,50,1.0
2022-08-14,19964.179,34423.60516666667,2356.6174166666665,1391.358,288,288,67,1.0
2022-09-13,21109.478916666667,33865.624416666666,2352.0857499999997,1494.172,288,288,44,1.0
2022-05-17,28790.052,40751.101749999994,2335.6093333333333,1256.138,288,288,56,1.0
2022-05-15,18805.2965,30463.232666666663,2333.380833333333,1315.5749999999998,288,288,48,1.0
2022-10-18,15391.631249999999,47103.335625,2329.42225,975.761,288,288,48,1.0
2023-04-19,29444.567416666665,46040.25116666666,2327.5171666666665,1504.7209999999995,288,288,46,1.0
2023-03-12,23508.79908333333,36852.80266666666,2319.3514166666664,1318.5120000000002,288,288,45,1.0
2023-08-03,17289.220166666666,37436.5995,2314.938333333333,1524.3029999999999,288,288,38,1.0
2023-04-06,25521.48933333333,39470.66583333333,2284.3745833333332,1263.5859999999998,288,288,53,1.0
2023-07-28,19425.36533333333,38679.6855,2277.2384166666666,1838.2690000000002,288,288,42,1.0
2023-06-21,13810.812666666667,35625.44658333333,2271.0715,1501.9030000000002,288,288,34,1.0
2022-06-14,22692.211416666665,37075.976083333335,2255.8244999999997,1484.1760000000002,288,288,45,1.0
2023-08-04,17454.654,36320.968499999995,2249.5454166666664,2043.4,288,288,41,1.0
2023-08-07,21622.214083333332,33768.94170833333,2238.664583333333,1772.5259999999998,288,288,48,1.0
2023-08-21,21031.633833333333,32535.460499999997,2184.898166666667,1416.315,288,288,49,1.0
2023-03-24,20657.701416666667,38342.80541666666,2163.0795,1462.2979999999998,288,288,43,1.0
2023-03-18,18300.4705,35578.32025,2152.0583333333334,1209.7780000000002,288,288,36,1.0
2023-06-24,21292.9035,35185.547666666665,2149.3336666666664,2099.875,288,288,41,1.0
2023-04-10,24990.478499999997,35561.58508333333,2128.748583333333,1264.2839999999997,288,288,49,1.0
2023-09-21,21441.083,38733.271166666666,2108.6379166666666,1014.9110000000001,288,288,49,1.0
2022-09-23,22542.350499999997,37256.110499999995,2079.156333333333,1210.2639999999997,288,288,53,1.0
2023-06-20,12600.419698463262,30029.23725,2058.7553505714022,2040.5094360498847,288,288,32,1.0
2022-06-07,24042.0125,41624.028249999996,2018.2289166666667,1377.0339999999999,288,288,53,1.0
2022-09-01,22738.78283333333,37269.05525,1954.0401666666667,1342.0749999999998,288,288,49,1.0
2022-05-12,24204.584666666666,38788.926166666664,1915.8730833333334,1276.0089999999996,288,288,39,1.0
2023-07-01,15998.258833333333,32773.866416666664,1877.8342499999999,1909.5140000000001,288,288,41,1.0
2022-10-16,19097.269416666666,39863.2075,1865.9199166666667,1347.649,288,288,30,1.0
2023-09-24,25843.227499999997,34110.167083333334,1850.7168333333332,1328.949,288,288,39,1.0
2022-08-20,22085.482249999997,35396.44258333333,1846.19725,912.1410000000001,288,288,70,1.0
2022-07-30,15110.890583333332,27592.958749999998,1845.7393333333334,1136.2300000000002,288,288,46,1.0
2022-05-05,22731.77908333333,38482.19308333333,1830.1655833333334,1334.3380000000002,288,288,50,1.0
2022-04-18,14807.659249999999,29024.48158333333,1823.1928333333333,1227.7099999999998,288,288,49,1.0
2023-03-30,19977.017916666664,37866.0455,1804.6928333333333,1261.9719999999998,288,288,31,1.0
2022-08-31,22681.976166666664,37089.089583333334,1734.6336666666664,1232.682,288,288,45,1.0
2023-02-19,23242.348416666664,34679.647,1716.216333333333,1149.3490000000002,288,288,36,1.0
2022-09-28,23795.35325,43088.118833333334,1705.3784166666667,1024.161,288,288,49,1.0
2023-07-15,21473.87183333333,34238.816249999996,1692.3700833333332,1872.929,288,288,41,1.0
2022-08-21,14425.942666666666,31157.14375,1686.2884999999999,976.705,288,288,55,1.0
2022-04-27,23676.3455,41305.06408333333,1667.27725,1508.4640000000009,288,288,37,1.0
2022-06-30,18243.270249999998,32114.22908333333,1640.715333333333,1382.737,288,288,49,1.0
2022-08-27,15481.536416666666,31699.902916666666,1633.1198333333332,1315.3729999999998,288,288,54,1.0
2022-08-30,20007.31683333333,36140.946416666666,1630.8325,1139.2369999999996,288,288,45,1.0
2023-06-23,21070.796416666664,37247.78425,1590.91725,1579.732,288,288,30,1.0
2022-12-14,14788.259790979357,43339.724916666666,1554.7011566570268,1846.2507695208074,288,288,31,1.0
2023-04-13,30445.470749999997,42947.628,1537.192583333333,1261.9749999999995,288,288,50,1.0
2023-07-27,18804.840833333332,40035.149333333335,1518.559083333333,1855.4210000000003,288,288,37,1.0
2023-02-26,15583.762583333333,34502.11041666666,1495.98125,1572.1190000000001,288,288,24,1.0
2023-05-10,19669.99325,46985.699499999995,1489.2453333333333,1491.1109999999999,288,288,21,1.0
2023-09-22,18965.593166666666,37774.47075,1474.9755833333334,1388.8680000000004,288,288,34,1.0
2023-09-08,18026.204416666667,34310.139749999995,1462.824,975.4540000000002,288,288,44,1.0
2022-05-27,26860.249666666663,39531.831,1458.170583333333,1078.5880000000002,288,288,51,1.0
2022-05-24,23862.496499999997,39106.798749999994,1443.8980833333335,1125.4410000000003,288,288,47,1.0
2022-04-13,13378.391833333333,32741.545,1426.5083333333332,1711.009,288,288,28,1.0
2022-06-10,24801.17108333333,40015.64266666667,1425.7775,1158.0719999999997,288,288,56,1.0
2023-03-23,19555.677416666666,39838.55233333333,1400.0190833333334,1154.5550000000003,288,288,34,1.0
2022-09-05,19978.2155,37902.60075,1384.5745000000002,1089.9250000000002,288,288,34,1.0
2023-08-08,18795.834583333333,33626.131083333334,1383.0476666666666,1255.0339999999997,288,288,42,1.0
